video_id,comment_id,comment_text,author,published_at,like_count,reply_count,comment_cleaned,comment_processed,sentiment_polarity,sentiment_subjectivity,sentiment_category,comment_length,word_count
bHM22eHlbg0,Ugz-7yql4rTN7BVZh1V4AaABAg,What could be the real reasons behind these?,@klausjambor1897,2026-02-01 11:44:55+00:00,1,0,what could be the real reasons behind these?,could real reasons behind ?,-0.1,0.5,neutral,44,8
bHM22eHlbg0,UgwW52JRO2LUYyqiStV4AaABAg,DW needs to wake up. Peace talks are not the same as a ceasefire. The war doesn’t end until after an agreement is made. It took a year and a half to reach an agreement to end the war in Afghanistan. So the war in Ukraine likely is no where close to over.,@michaelwilson9921,2026-02-01 10:45:28+00:00,4,0,dw needs to wake up. peace talks are not the same as a ceasefire. the war doesnt end until after an agreement is made. it took a year and a half to reach an agreement to end the war in afghanistan. so the war in ukraine likely is no where close to over.,dw needs wake . peace talks ceasefire . war doesnt end agreement made . took year half reach agreement end war afghanistan . war ukraine likely close .,-0.05555555555555555,0.4305555555555555,neutral,254,53
bHM22eHlbg0,UgxNk0DdoO7JQ9oQBg94AaABAg,"U.S bombed Iran which is Oceans away, Russia bombs Ukraine. Isreal bombs Gaza despite ceasefire. Both call it self defence. The real world order amidst Western hypocrisy",@eddieokpara3549,2026-02-01 11:06:34+00:00,7,0,u.s bombed iran which is oceans away russia bombs ukraine. isreal bombs gaza despite ceasefire. both call it self defence. the real world order amidst western hypocrisy,u.s bombed iran oceans away russia bombs ukraine . isreal bombs gaza despite ceasefire . call self defence . real world order amidst western hypocrisy,0.1,0.15000000000000002,neutral,169,27
bHM22eHlbg0,UgyLZ_fULTsrZueGN7B4AaABAg,"*I think Ukrainians should stop complaining since they are still listening to their 'Western sponsorers and Boris Johnson the adviser of the proxy war'* 😂😂😂

*Beware, the one winning don't always complain* 👌

*Russia's washing machines and shovels are really dangerous to cope!!!* 😂😂😂",@Heavenrisly,2026-02-01 11:00:23+00:00,16,0,i think ukrainians should stop complaining since they are still listening to their western sponsorers and boris johnson the adviser of the proxy war beware the one winning dont always complain russias washing machines and shovels are really dangerous to cope!!!,think ukrainians stop complaining since still listening western sponsorers boris johnson adviser proxy war beware one winning dont always complain russias washing machines shovels really dangerous cope ! ! !,-0.16666666666666666,0.5499999999999999,negative,284,44
bHM22eHlbg0,Ugx4YXd3WgR1rpcie9F4AaABAg,"So wait, is ukrainato still winning??",@fittestofthefittest,2026-02-01 11:43:54+00:00,2,0,so wait is ukrainato still winning??,wait ukrainato still winning ? ?,0.5,0.75,positive,37,6
bHM22eHlbg0,UgwPMlNHWmkZgeWawG54AaABAg,As long as zelenky has heat in his bunker this will continue,@TJMAXShow,2026-02-01 11:28:37+00:00,7,0,as long as zelenky has heat in his bunker this will continue,long zelenky heat bunker continue,-0.05,0.4,neutral,60,12
bHM22eHlbg0,Ugwjlg440ypWLyWU0yF4AaABAg,i happy Aonishiki family is safe in japan ☺️,@davidocktora04,2026-02-01 11:37:09+00:00,0,0,i happy aonishiki family is safe in japan,happy aonishiki family safe japan,0.65,0.75,positive,44,9
bHM22eHlbg0,UgxnswVlfvUbTzZksjN4AaABAg,Success for Ukraine! -25 C in Kiev. Vodka freezes at -27 C so the situation is not critical.,@peterrisbergs7156,2026-02-01 11:41:47+00:00,1,0,success for ukraine! 25 c in kiev. vodka freezes at 27 c so the situation is not critical.,success ukraine ! 25 c kiev . vodka freezes 27 c situation critical .,0.1875,0.4,positive,92,18
bHM22eHlbg0,UgzougS9iwuzZiLWMsl4AaABAg,"Don’t worry, Ursula still standing with you and will send more golden toilets. She promised!",@Zoran_balkan,2026-02-01 12:00:10+00:00,1,0,dont worry ursula still standing with you and will send more golden toilets. she promised!,dont worry ursula still standing send golden toilets . promised !,0.4375,0.5,positive,92,15
bHM22eHlbg0,UgyZeCwNEbxGcj9OWgZ4AaABAg,"It sounds more like: ""You cease...I fire""!",@borisreljanovic7292,2026-02-01 10:53:59+00:00,6,0,it sounds more like you cease...i fire!,sounds like cease ... fire !,0.625,0.5,positive,42,7
