total_risk,sentiment_risk,volume_factor,conflict_severity,fused_sentiment,mention_count,region,node_id
0.85,1,1.0,0.5,0,55,Ukraine,region_Ukraine
0.85,1,1.0,0.5,0,55,Israel,region_Israel
0.759,1,0.74,0.5,0,37,Russia,region_Russia
0.717,1,0.62,0.5,0,31,Sudan,region_Sudan
0.703,1,0.58,0.5,0,29,Gaza,region_Gaza
0.668,1,0.48,0.5,0,24,US,region_US
0.612,1,0.32,0.5,0,16,Iran,region_Iran
0.605,1,0.3,0.5,0,15,Syria,region_Syria
0.605,1,0.3,0.5,0,15,Myanmar,region_Myanmar
0.584,1,0.24,0.5,0,12,Yemen,region_Yemen
0.5559999999999999,1,0.16,0.5,0,8,Ukrainian,region_Ukrainian
0.5349999999999999,1,0.1,0.5,0,5,Lebanon,region_Lebanon
0.5349999999999999,1,0.1,0.5,0,5,the Gaza Strip,region_the Gaza Strip
0.528,1,0.08,0.5,0,4,Moscow,region_Moscow
0.528,1,0.08,0.5,0,4,russia,region_russia
0.528,1,0.08,0.5,0,4,the United States,region_the United States
0.528,1,0.08,0.5,0,4,New Delhi,region_New Delhi
0.521,1,0.06,0.5,0,3,Gaza Strip,region_Gaza Strip
0.521,1,0.06,0.5,0,3,israel,region_israel
0.521,1,0.06,0.5,0,3,Palestine,region_Palestine
0.521,1,0.06,0.5,0,3,UK,region_UK
0.521,1,0.06,0.5,0,3,Gaza City,region_Gaza City
0.514,1,0.04,0.5,0,2,India,region_India
0.514,1,0.04,0.5,0,2,Kanal13,region_Kanal13
0.514,1,0.04,0.5,0,2,China,region_China
0.514,1,0.04,0.5,0,2,Tehran,region_Tehran
0.514,1,0.04,0.5,0,2,Chad,region_Chad
0.507,1,0.02,0.5,0,1,Cherepovets,region_Cherepovets
0.507,1,0.02,0.5,0,1,Drone Strikes,region_Drone Strikes
0.507,1,0.02,0.5,0,1,Ethiopia,region_Ethiopia
